,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-03-31,92.5146,93.1809,92.0073,92.0073,88.9274,2337223,0.0000,1.0
2022-03-30,92.0073,93.0715,91.0426,93.0715,89.9559,2270738,0.0000,1.0
2022-03-29,92.7731,93.0715,90.6746,91.5001,88.4371,3353635,0.0000,1.0
2022-03-28,92.6538,94.8518,92.6538,93.5887,90.4558,1758137,0.0000,1.0
2022-03-25,92.9024,93.0616,92.1963,92.614,89.5137,1730136,0.0000,1.0
2022-03-24,93.2008,94.0362,92.5941,92.6836,89.581,2238913,0.0000,1.0
2022-03-23,93.3301,93.9268,92.9919,93.1113,89.9944,1575408,0.0000,1.0
2022-03-22,92.8527,93.539,92.3554,93.529,90.3981,1866714,0.0000,1.0
2022-03-21,92.803,93.4892,92.4449,92.793,89.6868,1921393,0.0000,1.0
2022-03-18,93.7677,94.4937,92.5344,92.7831,89.6772,5698910,0.0000,1.0
2022-03-17,93.2108,94.5136,92.9522,94.5136,91.3498,2499912,0.0000,1.0
2022-03-16,94.5833,94.6927,92.9024,93.5589,90.4269,3119466,0.0000,1.0
2022-03-15,91.2614,93.5787,90.8138,93.4693,90.3404,3323044,0.0000,1.0
2022-03-14,89.2126,92.7433,87.3428,92.4549,89.3599,4406061,0.0000,1.0
2022-03-11,92.624,95.7668,92.5245,93.1113,89.9944,3015706,0.0000,1.0
2022-03-10,93.9567,95.1303,90.8835,92.614,89.5137,3850273,0.0000,1.0
2022-03-09,93.3599,94.6529,91.4703,93.7777,90.6384,4762777,0.0000,1.0
2022-03-08,89.1529,92.6637,89.0336,91.2813,88.2256,4716160,0.0000,1.0
2022-03-07,85.8012,89.1728,84.4785,88.2678,85.313,3963313,0.0000,1.0
2022-03-04,89.5508,89.6005,86.9151,87.3329,84.4094,3650669,0.0000,1.0
2022-03-03,90.3961,91.0923,89.4712,89.6403,86.6395,2585527,0.0000,1.0
2022-03-02,92.614,92.793,89.6502,90.9332,87.8892,3118951,0.0000,1.0
2022-03-01,92.7234,93.6881,90.7044,91.4703,88.4083,3197540,0.0000,1.0
2022-02-28,92.1565,93.0616,91.4902,92.9621,89.8502,3486109,0.0000,1.0
2022-02-25,90.2768,93.7279,89.8988,93.3599,90.2347,3558169,0.0000,1.0
2022-02-24,90.426,90.9929,88.9838,89.7198,86.7164,4241535,0.0000,1.0
2022-02-23,91.4902,93.3699,91.4802,92.6339,89.533,2154585,0.0000,1.0
2022-02-22,90.0679,91.5399,89.4215,91.5399,88.4756,1970416,0.0000,1.0
2022-02-21,92.4449,93.4693,91.4305,91.6493,88.5813,1503522,0.0000,1.0
2022-02-18,92.6439,93.5787,92.0968,92.5245,89.4272,1786813,0.0000,1.0
2022-02-17,93.3301,93.4296,91.8681,93.1212,90.004,1910873,0.0000,1.0
2022-02-16,93.34,93.6981,92.5941,92.982,89.8694,1640959,0.0000,1.0
2022-02-15,91.9675,93.3202,91.6095,93.3202,90.1962,2053805,0.0000,1.0
2022-02-14,92.1764,92.5842,90.7243,91.699,88.6294,2251754,0.0000,1.0
2022-02-11,93.1212,93.7975,91.4703,93.3202,90.1962,2257793,0.0000,1.0
2022-02-10,93.2008,93.9666,91.9775,92.3554,89.2638,2507759,0.0000,1.0
2022-02-09,94.3843,94.5136,92.6737,92.9621,89.8502,3234513,0.0000,1.0
2022-02-08,92.5245,94.0263,92.4748,93.2008,90.0809,3207664,0.0000,1.0
2022-02-07,90.5652,93.0914,90.3265,92.5941,89.4945,2375103,0.0000,1.0
2022-02-04,91.699,92.8925,86.8754,89.7994,86.7933,2872163,0.0000,1.0
2022-02-03,91.9874,92.8627,90.4658,90.794,87.7546,2421530,0.0000,1.0
2022-02-02,90.9829,92.1565,90.4359,91.7786,88.7063,1736774,0.0000,1.0
2022-02-01,91.9178,92.1665,90.058,91.0923,88.043,2373936,0.0000,1.0
2022-01-31,93.5589,93.8174,91.7885,92.246,89.1581,3049939,0.0000,1.0
2022-01-28,93.7975,94.6429,92.5643,93.7478,90.6096,3003341,0.0000,1.0
2022-01-27,90.1177,94.4241,89.6204,94.3744,91.2152,3555387,0.0000,1.0
2022-01-26,90.7542,91.8084,90.4459,91.4404,88.3794,2389021,0.0000,1.0
2022-01-25,88.6755,90.0281,87.8799,89.7596,86.7549,2589157,0.0000,1.0
2022-01-24,89.9784,90.8437,88.039,88.039,85.0919,2895625,0.0000,1.0
2022-01-21,91.6294,92.1764,90.0779,90.4459,87.4182,2702713,0.0000,1.0
2022-01-20,90.784,92.4847,90.4558,92.4151,89.3215,2243096,0.0000,1.0
2022-01-19,91.2316,91.4404,90.1276,91.2316,88.1776,1884921,0.0000,1.0
2022-01-18,91.4106,92.0968,90.963,91.5598,88.4948,1749759,0.0000,1.0
2022-01-17,90.8039,91.9178,90.6846,91.699,88.6294,1722948,0.0000,1.0
2022-01-14,87.9396,90.3563,87.7506,90.1276,87.1106,1709703,0.0000,1.0
2022-01-13,89.0634,89.2126,88.0987,88.4368,85.4764,1795335,0.0000,1.0
2022-01-12,89.5607,90.4359,89.1231,89.4712,86.4761,1719828,0.0000,1.0
2022-01-11,89.511,90.3663,89.0535,89.511,86.5146,2305529,0.0000,1.0
2022-01-10,88.0191,88.9043,87.6213,88.3672,85.4091,1641843,0.0000,1.0
2022-01-07,87.671,88.3772,87.0544,88.1186,85.1688,1897920,0.0000,1.0
